Symptoms;Disease;Treatment
Pain in the ear, fever;Acute Otitis Media;Antibiotics, pain relievers
Itching in ears, foul discharge;Otitis Externa;Topical antibiotics, ear drops
Buzzing noise, difficulty hearing;Tinnitus;Cognitive behavioral therapy, sound masking
Hearing loss, ear fullness;Eustachian Tube Dysfunction;Decongestants, nasal sprays
Pain and ringing in the ears;Meniere's Disease;Diuretics, dietary changes
Dizziness, ear pain;Vestibular Neuronitis;Vestibular rehabilitation, medications
Popping sensation in the ear;Barotrauma;Manual equalization, decongestants
Ear discharge, pain behind the ear;Mastoiditis;Antibiotics, surgery if necessary
Fluid in the ear, chronic cough;Otitis Media;Observation, antibiotics if needed
Sudden hearing loss, dizziness;Sudden Sensorineural Hearing Loss;Corticosteroids, hearing aids
Tenderness around the ear, swelling;Auricular Hematoma;Aspiration, compression bandage
Pressure in the ear, muffled hearing;Ear Barotrauma;Decongestants, manual equalization
Dizziness, vertigo;Benign Paroxysmal Positional Vertigo;Vestibular rehabilitation, maneuvers
Ear pain during chewing, tenderness;TMJ Dysfunction;Pain management, physical therapy
Ringing in ears, sleep disturbances;Chronic Tinnitus;Counseling, sound therapy
Itching, redness in the ear;Eczematous Otitis;Topical steroids, emollients
Hearing changes, dizziness;Acoustic Neuroma;Surgery, radiation therapy
Ear pain, swelling behind the ear;Perichondritis;Antibiotics, corticosteroids
Fluid in the ear, mild fever;Serous Otitis Media;Observation, surgery if persistent
Itching in the ear, foul odor;Chronic Otitis Externa;Antibiotic ear drops, pain management
Earache, hearing loss;Earwax Impaction;Earwax removal, irrigation
Pain in the ear, nausea;Labyrinthitis;Antibiotics, anti-nausea medications
Buzzing in the ears, stress;Stress-Induced Tinnitus;Stress management, therapy
Painful sensation in the ear;Tympanic Membrane Perforation;Pain management, possible surgical repair
Ear discomfort, dizziness;Vestibular Disorder;Vestibular rehabilitation, medications
Fluid in the ear, persistent cough;Upper Respiratory Infection;Observation, symptomatic treatment
Sudden ear pain, redness;Otitis Media;Antibiotics, pain relievers
Painful ear, difficulty balancing;Benign Paroxysmal Positional Vertigo;Maneuvers, medications
Pressure in the ear, headache;Sinusitis;Decongestants, pain relief
Earache, fever, swollen lymph nodes;Lymphadenitis;Antibiotics, pain management
Itchy ears, crusty discharge;Eczematous Otitis Externa;Topical steroids, emollients
Ringing in the ears, hearing loss;Noise-Induced Hearing Loss;Hearing aids, sound therapy
Dizziness, popping sensation in the ear;Eustachian Tube Dysfunction;Decongestants, nasal steroids
Fluid in the ear, difficulty hearing;Acute Otitis Media;Antibiotics, warm compresses
Pain in the ear, dull hearing;Sudden Sensorineural Hearing Loss;Corticosteroids, audiology
Itching in the ear, discomfort;Allergic Rhinitis;Antihistamines, nasal sprays
Tenderness around the ear, ear discharge;Acute Otitis Media;Antibiotics, pain relievers
Painful swelling behind the ear;Bell's Palsy;Corticosteroids, physical therapy
Fluid in the ear, dizziness;Labyrinthitis;Antibiotics, vestibular rehabilitation
Hearing changes, pressure in the ear;Eustachian Tube Dysfunction;Decongestants, nasal sprays
Buzzing noise in the ear, anxiety;Anxiety-Induced Tinnitus;Cognitive behavioral therapy, sound masking
Ear pain, feeling of fullness;Barotrauma;Manual equalization, decongestants
Sudden dizziness, pain in the ear;Vestibular Neuronitis;Medications, vestibular rehabilitation
Mild pain or Discomfort inside the ear,A feeling of Pressure inside the ear,Pus;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Mild pain or Discomfort inside the ear,Pus,A feeling of Pressure inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Mild pain or Discomfort inside the ear,A feeling of Pressure inside the ear,Hearing loss;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Mild pain or Discomfort inside the ear,Hearing loss,A feeling of Pressure inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Mild pain or Discomfort inside the ear,Pus,Hearing loss;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Mild pain or Discomfort inside the ear,Hearing loss,Pus;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
A feeling of Pressure inside the ear,Mild pain or Discomfort inside the ear,Pus;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
A feeling of Pressure inside the ear,Pus,Mild pain or Discomfort inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
A feeling of Pressure inside the ear,Mild pain or Discomfort inside the ear,Hearing loss;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
A feeling of Pressure inside the ear,Hearing loss,Mild pain or Discomfort inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
A feeling of Pressure inside the ear,Pus,Hearing loss;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
A feeling of Pressure inside the ear,Hearing loss,Pus;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Pus,Mild pain or Discomfort inside the ear,A feeling of Pressure inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Pus,A feeling of Pressure inside the ear,Mild pain or Discomfort inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Pus,Mild pain or Discomfort inside the ear,Hearing loss;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Pus,Hearing loss,Mild pain or Discomfort inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Pus,A feeling of Pressure inside the ear,Hearing loss;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Pus,Hearing loss,Mild pain or Discomfort inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
Hearing loss,A feeling of Pressure inside the ear,Mild pain or Discomfort inside the ear;Ear Infection;Ear drops,Ibuprofen and Acetaminophen
